idFeuillet;idPersonne;mtmx;mtmy;SRDOMI;nbPersLogi;facteurPersonne;facteurLogement;age;permis;statut;sexe;SRIDU
193189;193189 4;301614;5050781;4620192;5;37.61;28.69;14;5;3;1;4620192.00
193189;193189 5;301614;5050781;4620192;5;31.31;28.69;12;5;3;2;4620192.00
193194;193194 1;297825;5036810;4620083;2;13.05;17.64;60;1;1;2;4620083.00
193194;193194 2;297825;5036810;4620083;2;14.67;17.64;60;1;1;1;4620083.00
193212;193212 1;295652;5045379;4620244;4;26.74;24.2;36;1;1;1;4620244.00
193212;193212 2;295652;5045379;4620244;4;21.45;24.2;34;1;1;2;4620244.00
193212;193212 3;295652;5045379;4620244;4;25.61;24.2;13;5;3;2;4620244.00
193212;193212 4;295652;5045379;4620244;4;27.43;24.2;12;5;3;1;4620244.00
193221;193221 1;298455;5037846;4620079;4;27.9;29.02;31;1;1;2;4620079.00
193221;193221 2;298455;5037846;4620079;4;35.91;29.02;13;5;3;2;4620079.00
193221;193221 3;298455;5037846;4620079;4;35.91;29.02;11;5;3;2;4620079.00
193221;193221 4;298455;5037846;4620079;4;30.48;29.02;6;5;3;2;4620079.00
193223;193223 1;293014;5041732;4620403;5;20.03;19.5;51;1;1;1;4620403.00
193223;193223 2;293014;5041732;4620403;5;17.66;19.5;46;1;7;2;4620403.00
193223;193223 3;293014;5041732;4620403;5;16.03;19.5;17;2;3;2;4620403.00
193223;193223 4;293014;5041732;4620403;5;16.03;19.5;19;2;3;2;4620403.00
193223;193223 5;293014;5041732;4620403;5;16.03;19.5;19;2;3;2;4620403.00
193228;193228 1;300149;5045992;4620188.02;4;18.7;21.3;50;1;5;1;4620188.02
193228;193228 2;300149;5045992;4620188.02;4;20.96;21.3;51;1;1;2;4620188.02
193228;193228 3;300149;5045992;4620188.02;4;30.99;21.3;20;1;3;2;4620188.02
193228;193228 4;300149;5045992;4620188.02;4;18.15;21.3;17;2;3;2;4620188.02
193229;193229 1;292764;5042154;4620403;5;16.66;17.08;41;1;3;1;4620403.00
193229;193229 2;292764;5042154;4620403;5;15.47;17.08;40;1;1;2;4620403.00
193229;193229 3;292764;5042154;4620403;5;18.13;17.08;9;5;3;2;4620403.00
193229;193229 4;292764;5042154;4620403;5;15.65;17.08;4;5;3;1;4620403.00
193229;193229 5;292764;5042154;4620403;5;15.65;17.08;1;5;6;1;4620403.00
193248;193248 1;297323;5045657;4620206;1;28.24;27.03;46;1;1;1;4620206.00
193250;193250 1;300112;5044185;4620032;1;39.52;43.13;37;1;1;1;4620032.00
193267;193267 1;299965;5037673;4620074;2;19.12;17.64;48;1;1;2;4620074.00
193267;193267 2;299965;5037673;4620074;2;22.09;17.64;47;1;7;1;4620074.00
193274;193274 1;298970;5038358;4620078;2;19.52;19.94;85;2;4;2;4620078.00
193274;193274 2;298970;5038358;4620078;2;19.52;19.94;93;2;4;2;4620078.00
193277;193277 1;293377;5044289;4620267;3;23.98;29.5;65;2;4;2;4620267.00
193277;193277 2;293377;5044289;4620267;3;23.18;29.5;68;1;4;1;4620267.00
193277;193277 3;293377;5044289;4620267;3;42.65;29.5;22;2;3;1;4620267.00
